📡央视频道,#genre#
CCTV-1高清,http://180.113.41.221:9999/rtp/239.49.8.129:6000
CCTV-2高清,http://180.113.41.221:9999/rtp/239.49.8.130:6000
CCTV-3高清,http://180.113.41.221:9999/rtp/239.49.9.31:6000
CCTV-4高清,http://180.113.41.221:9999/rtp/239.49.8.131:6000
CCTV-5高清,http://180.113.41.221:9999/rtp/239.49.9.32:6000
CCTV-5+高清,http://180.113.41.221:9999/rtp/239.49.8.137:6000
CCTV-6高清,http://180.113.41.221:9999/rtp/239.49.9.33:6000
CCTV-7高清,http://180.113.41.221:9999/rtp/239.49.8.132:6000
CCTV-8高清,http://180.113.41.221:9999/rtp/239.49.9.34:6000
CCTV-9高清,http://180.113.41.221:9999/rtp/239.49.8.133:6000
CCTV10高清,http://180.113.41.221:9999/rtp/239.49.8.134:6000
CCTV12高清,http://180.113.41.221:9999/rtp/239.49.8.135:6000
CCTV13高清,http://180.113.41.221:9999/rtp/239.49.9.43:6000
CCTV14高清,http://180.113.41.221:9999/rtp/239.49.8.136:6000
CCTV-1高清,http://114.223.61.163:9999/rtp/239.49.8.129:6000
CCTV-2高清,http://114.223.61.163:9999/rtp/239.49.8.130:6000
CCTV-3高清,http://114.223.61.163:9999/rtp/239.49.9.31:6000
CCTV-4高清,http://114.223.61.163:9999/rtp/239.49.8.131:6000
CCTV-5高清,http://114.223.61.163:9999/rtp/239.49.9.32:6000
CCTV-5+高清,http://114.223.61.163:9999/rtp/239.49.8.137:6000
CCTV-6高清,http://114.223.61.163:9999/rtp/239.49.9.33:6000
CCTV-7高清,http://114.223.61.163:9999/rtp/239.49.8.132:6000
CCTV-8高清,http://114.223.61.163:9999/rtp/239.49.9.34:6000
CCTV-9高清,http://114.223.61.163:9999/rtp/239.49.8.133:6000
CCTV10高清,http://114.223.61.163:9999/rtp/239.49.8.134:6000
CCTV12高清,http://114.223.61.163:9999/rtp/239.49.8.135:6000
CCTV13高清,http://114.223.61.163:9999/rtp/239.49.9.43:6000
CCTV14高清,http://114.223.61.163:9999/rtp/239.49.8.136:6000
